k,time_s,pwmVal,position,courant,positionRef,courantRef,positionReel,courantReel
20606,41.212000,50,415,537,429.301198,511.355250,-14.301198,25.644750
20607,41.214000,50,417,537,429.301198,511.355250,-12.301198,25.644750
20608,41.216000,50,416,536,429.301198,511.355250,-13.301198,24.644750
20609,41.218000,50,417,536,429.301198,511.355250,-12.301198,24.644750
20610,41.220000,50,419,537,429.301198,511.355250,-10.301198,25.644750
20611,41.222000,50,420,537,429.301198,511.355250,-9.301198,25.644750
20612,41.224000,50,420,536,429.301198,511.355250,-9.301198,24.644750
20613,41.226000,50,421,536,429.301198,511.355250,-8.301198,24.644750
20614,41.228000,50,421,536,429.301198,511.355250,-8.301198,24.644750
20615,41.230000,50,422,536,429.301198,511.355250,-7.301198,24.644750
20616,41.232000,50,423,536,429.301198,511.355250,-6.301198,24.644750
20617,41.234000,50,425,536,429.301198,511.355250,-4.301198,24.644750
20618,41.236000,50,425,536,429.301198,511.355250,-4.301198,24.644750
20619,41.238000,50,426,535,429.301198,511.355250,-3.301198,23.644750
20620,41.240000,50,427,536,429.301198,511.355250,-2.301198,24.644750
20621,41.242000,50,427,536,429.301198,511.355250,-2.301198,24.644750
20622,41.244000,50,428,536,429.301198,511.355250,-1.301198,24.644750
20623,41.246000,50,429,536,429.301198,511.355250,-0.301198,24.644750
20624,41.248000,50,430,536,429.301198,511.355250,0.698802,24.644750
20625,41.250000,50,431,536,429.301198,511.355250,1.698802,24.644750
20626,41.252000,50,431,537,429.301198,511.355250,1.698802,25.644750
20627,41.254000,50,432,536,429.301198,511.355250,2.698802,24.644750
20628,41.256000,50,433,536,429.301198,511.355250,3.698802,24.644750
20629,41.258000,50,433,536,429.301198,511.355250,3.698802,24.644750
20630,41.260000,50,434,536,429.301198,511.355250,4.698802,24.644750
20631,41.262000,50,435,536,429.301198,511.355250,5.698802,24.644750
20632,41.264000,50,436,536,429.301198,511.355250,6.698802,24.644750
20633,41.266000,50,436,536,429.301198,511.355250,6.698802,24.644750
20634,41.268000,50,437,535,429.301198,511.355250,7.698802,23.644750
20635,41.270000,50,438,536,429.301198,511.355250,8.698802,24.644750
20636,41.272000,50,438,535,429.301198,511.355250,8.698802,23.644750
20637,41.274000,50,439,535,429.301198,511.355250,9.698802,23.644750
20638,41.276000,50,439,536,429.301198,511.355250,9.698802,24.644750
20639,41.278000,50,440,536,429.301198,511.355250,10.698802,24.644750
20640,41.280000,50,440,536,429.301198,511.355250,10.698802,24.644750
20641,41.282000,50,440,536,429.301198,511.355250,10.698802,24.644750
20642,41.284000,50,441,536,429.301198,511.355250,11.698802,24.644750
20643,41.286000,50,443,536,429.301198,511.355250,13.698802,24.644750
20644,41.288000,50,443,536,429.301198,511.355250,13.698802,24.644750
20645,41.290000,50,443,536,429.301198,511.355250,13.698802,24.644750
20646,41.292000,50,443,536,429.301198,511.355250,13.698802,24.644750
20647,41.294000,50,444,535,429.301198,511.355250,14.698802,23.644750
20648,41.296000,50,444,535,429.301198,511.355250,14.698802,23.644750
20649,41.298000,50,445,534,429.301198,511.355250,15.698802,22.644750
20650,41.300000,50,446,535,429.301198,511.355250,16.698802,23.644750
20651,41.302000,50,446,535,429.301198,511.355250,16.698802,23.644750
20652,41.304000,50,446,535,429.301198,511.355250,16.698802,23.644750
20653,41.306000,50,447,536,429.301198,511.355250,17.698802,24.644750
20654,41.308000,50,447,536,429.301198,511.355250,17.698802,24.644750
20655,41.310000,50,447,535,429.301198,511.355250,17.698802,23.644750
20656,41.312000,50,447,535,429.301198,511.355250,17.698802,23.644750
20657,41.314000,50,448,535,429.301198,511.355250,18.698802,23.644750
20658,41.316000,50,448,535,429.301198,511.355250,18.698802,23.644750
20659,41.318000,50,449,535,429.301198,511.355250,19.698802,23.644750
20660,41.320000,50,449,535,429.301198,511.355250,19.698802,23.644750
20661,41.322000,50,450,535,429.301198,511.355250,20.698802,23.644750
20662,41.324000,50,450,535,429.301198,511.355250,20.698802,23.644750
20663,41.326000,50,450,536,429.301198,511.355250,20.698802,24.644750
20664,41.328000,50,450,535,429.301198,511.355250,20.698802,23.644750
20665,41.330000,50,450,535,429.301198,511.355250,20.698802,23.644750
20666,41.332000,50,450,534,429.301198,511.355250,20.698802,22.644750
20667,41.334000,50,450,534,429.301198,511.355250,20.698802,22.644750
20668,41.336000,50,451,535,429.301198,511.355250,21.698802,23.644750
20669,41.338000,50,451,535,429.301198,511.355250,21.698802,23.644750
20670,41.340000,50,450,535,429.301198,511.355250,20.698802,23.644750
20671,41.342000,50,451,534,429.301198,511.355250,21.698802,22.644750
20672,41.344000,50,451,536,429.301198,511.355250,21.698802,24.644750
